Name,Crime_Type,Location,Co-ordinates,Date,Time
Lucknow_2023_05_24+23_37_42_543666.webm,NA,Lucknow,"26.8393,80.9231",2023_05_24,23_37_42_543666
Lucknow_2023_05_24+23_40_07_403837.webm,NA,Lucknow,"26.8393,80.9231",2023_05_24,23_40_07_403837
Lucknow_2023_05_24+23_42_08_279586.webm,NA,Lucknow,"26.8393,80.9231",2023_05_24,23_42_08_279586
Lucknow_2023_05_24+23_45_27_957064.webm,NA,Lucknow,"26.8393,80.9231",2023_05_24,23_45_27_957064
Lucknow_2023_05_24+23_47_13_740623.webm,NA,Lucknow,"26.8393,80.9231",2023_05_24,23_47_13_740623
Lucknow_2023_05_24+23_50_44_591147.webm,NA,Lucknow,"26.8393,80.9231",2023_05_24,23_50_44_591147
Lucknow_2023_05_24+23_53_28_616369.webm,NA,Lucknow,"26.8393,80.9231",2023_05_24,23_53_28_616369
Lucknow_2023_05_25+00_00_43_420430.webm,NA,Lucknow,"26.8393,80.9231",2023_05_25,00_00_43_420430
Lucknow_2023_05_25+00_08_20_621540.webm,NA,Lucknow,"26.8393,80.9231",2023_05_25,00_08_20_621540
Lucknow_2023_05_25+00_12_16_721826.webm,NA,Lucknow,"26.8393,80.9231",2023_05_25,00_12_16_721826
Lucknow_2023_05_25+00_12_36_009507.webm,NA,Lucknow,"26.8393,80.9231",2023_05_25,00_12_36_009507
NA_2023_05_25+00_14_04_857603.webm,NA,NA,NA,2023_05_25,00_14_04_857603
NA_2023_05_25+00_14_50_077562.webm,NA,NA,NA,2023_05_25,00_14_50_077562
NA_2023_05_25+00_15_41_457593.webm,NA,NA,NA,2023_05_25,00_15_41_457593
NA_2023_05_25+00_20_24_700840.webm,NA,NA,NA,2023_05_25,00_20_24_700840
NA_2023_05_25+00_24_18_540580.webm,Fighting,NA,NA,2023_05_25,00_24_18_540580
NA_2023_05_25+00_27_02_289704.webm,Fighting,NA,NA,2023_05_25,00_27_02_289704
NA_2023_05_25+00_33_48_942032.webm,Fighting,NA,NA,2023_05_25,00_33_48_942032
NA_2023_05_25+00_35_19_889157.webm,Abuse,NA,NA,2023_05_25,00_35_19_889157
NA_2023_05_25+00_40_52_470387.webm,Abuse,NA,NA,2023_05_25,00_40_52_470387
NA_2023_05_25+00_43_51_228859.webm,Arson,NA,NA,2023_05_25,00_43_51_228859
NA_2023_05_25+00_45_18_220365.webm,Abuse,NA,NA,2023_05_25,00_45_18_220365
NA_2023_05_25+00_49_01_167383.webm,NA,NA,NA,2023_05_25,00_49_01_167383
NA_2023_05_25+00_52_05_817424.webm,Abuse,NA,NA,2023_05_25,00_52_05_817424
NA_2023_05_25+01_06_39_877676.webm,Arson,NA,NA,2023_05_25,01_06_39_877676
NA_2023_05_25+01_07_54_752022.webm,Abuse,NA,NA,2023_05_25,01_07_54_752022
NA_2023_05_25+01_10_25_010471.webm,Abuse,NA,NA,2023_05_25,01_10_25_010471
NA_2023_05_25+01_12_20_936659.webm,Abuse,NA,NA,2023_05_25,01_12_20_936659
NA_2023_05_25+01_15_08_218318.webm,NA,NA,NA,2023_05_25,01_15_08_218318
NA_2023_05_25+01_17_38_594496.webm,Arson,NA,NA,2023_05_25,01_17_38_594496
NA_2023_05_25+01_19_13_150754.webm,Abuse,NA,NA,2023_05_25,01_19_13_150754
NA_2023_05_25+01_20_53_911100.webm,NA,NA,NA,2023_05_25,01_20_53_911100
NA_2023_05_25+01_22_37_654547.webm,Abuse,NA,NA,2023_05_25,01_22_37_654547
